id,skillLevelId,content
137,31,"Develops and promotes organisational strategies, policies, standards and guidelines for sustainability."
138,31,"Leads the introduction and use of sustainability techniques, methodologies and tools."
139,32,Monitors and maintains financial records to ensure compliance and audit requirements are met.
140,32,Provides general support in financial planning and budgeting by compiling and reporting on financial data.
141,32,Supports decision-making by collating and summarising financial information at a high level.
142,32,Collaborates with business units to gather financial data and understand operational needs.
143,33,"Provides general advice and guidance on financial planning, budgeting and accounting using recognised practices and standards."
144,33,Develops high-level financial plans and forecasts to guide organisational strategies and plans.
145,33,Monitors expenditure to ensure alignment with budgetary goals.
146,33,Contributes to financial control frameworks and supports strategic decision-making by summarising expenditure trends and variances.
147,34,"Develops organisational policies, standards and guidelines for financial management to support strategic business goals."
148,34,Promotes financial governance and drives adherence to financial policies and standards.
149,34,Collaborates with senior leaders and business unit heads to ensure financial strategies support overall business objectives.
150,34,Oversees the setting and management of financial budgets and targets at a strategic level.
151,34,Leads high-level reviews of financial performance and implements improvements to align budget usage with organisational priorities.
152,35,Develops and documents investment appraisals for a range of different projects.
153,35,Identifies suitable appraisal techniques based on the characteristics of a project.
154,35,Collects the information required to create an investment appraisal in collaboration with internal and external stakeholders.
155,35,Presents findings of investment appraisals to selected stakeholders.
156,35,Refines and maintains investment appraisals.
157,36,Advises on investment appraisal approaches and tailors organisational standards to the context of portfolios/programmes.
158,36,Leads investment appraisal activities for simple portfolios and programmes and complex projects.
159,37,"Develops organisational policies, standards and guidelines for investment appraisals."
160,37,Leads activities to establish consistent appraisal across the component projects and programmes within a portfolio.
161,37,Reviews investment appraisals for high-value initiatives to assure their quality.
162,37,Leads investment appraisal activities for complex programmes of work and portfolios.
163,38,Supports the identification and tracking of benefits for projects and programmes.
164,38,Collects data to measure benefits realisation.
165,39,Contributes to the development and implementation of benefits management plans for projects and programmes.
166,39,Engages with stakeholders to identify and quantify benefits and to establish metrics and mechanisms for tracking benefits realisation.
167,39,Monitors and reports on progress towards benefits realisation.
168,39,Identifies risks and issues that may impact benefits delivery and escalates as appropriate.
169,39,Supports the embedding of benefits management practices across the organisation.
170,40,Leads activities required in the realisation of the benefits of each part of the change programme.
171,40,Identifies specific metrics and mechanisms to measure benefits and plans to activate these mechanisms at the required time.
172,40,Monitors benefits against what was predicted in the business case.
173,40,Ensures all participants are engaged throughout the change programme and fully prepared to exploit the new operational business environment.
174,40,"Supports operational managers to ensure all plans, work packages and deliverables are aligned with the expected benefits."
175,41,Works with operational managers to ensure maximum improvements are made as groups of projects deliver their products into operational use.
176,41,Communicates the change programme vision to staff at all levels of the business and keeps a focus on business objectives.
177,41,Maintains the business case for funding the programme and confirms continuing business viability of the programme at regular intervals.
178,42,Assists in gathering financial data and preparing basic budget templates under supervision.
179,42,Supports the budgeting and forecasting process by completing assigned tasks.
180,43,"Performs specified tasks in the budgeting and forecasting process, including data analysis and report preparation, using standard methods."
181,43,Identifies and resolves routine budgeting and forecasting issues.
182,43,Communicates budget and forecast information to relevant stakeholders.
183,44,Contributes to the development of budgets and forecasts for specific areas of responsibility.
184,44,Gathers and analyses financial data and prepares budget templates and reports.
185,44,Supports stakeholder communication and collaboration in the budgeting and forecasting process.
186,45,Leads the development of budgets and forecasts for a department or function.
187,45,Provides authoritative advice and guidance on budgeting and forecasting practices.
188,45,Selects and applies appropriate budgeting and forecasting methodologies and tools.
189,45,"Incorporates scenario planning, sensitivity analysis and risk assessment into the budgeting and forecasting process."
190,45,Collaborates with stakeholders to align budgets and forecasts with organisational objectives and business metrics.
191,46,"Develops and implements budgeting and forecasting strategies, policies and processes aligned with overall organisational objectives and business metrics."
192,46,Drives the adoption of good working practices across the organisation.
193,46,Oversees the development of complex financial models and scenario analyses to support strategic decision-making.
194,46,Provides insights and recommendations to optimise investments and resource allocation.
195,46,Collaborates with senior leaders to ensure budgets and forecasts support long-term organisational goals and drive value creation.
196,46,Sets the vision and direction for budgeting and forecasting practices.
197,47,Assists in collecting and organising financial data and preparing basic reports under supervision.
198,47,Supports the financial analysis process by completing assigned tasks and seeking guidance when needed.
199,48,"Applies established financial analysis techniques and processes to carry out specific tasks such as detailed data analysis, report generation and interpretation of financial metrics."
200,48,Contributes to the development of actionable insights for decision-making.
201,48,Communicates financial analysis findings to relevant stakeholders.
202,49,"Performs financial analysis for specific areas, using standard techniques and tools."
203,49,Prepares reports and provides insights to support decision-making.
204,49,Conducts cost-benefit analyses and supports stakeholder collaboration in the cost management process.
205,49,Collaborates with stakeholders to understand requirements and deliver relevant analysis.
206,49,Supports the development and maintenance of financial models.
207,50,"Leads financial analysis activities for a department or function, applying advanced techniques and tools."
208,50,Develops and maintains complex financial models.
209,50,Conducts scenario planning and sensitivity analysis to support decision-making.
210,50,Provides authoritative advice and guidance on recommended financial analysis practices.
211,50,"Presents findings and recommendations to senior stakeholders, linking financial performance to business outcomes."
212,50,Collaborates with stakeholders to align analysis with organisational objectives.
213,51,"Defines and leads the organisation's approach to financial analysis, aligning it with strategic objectives and business value creation."
214,51,"Develops and implements enterprise-wide financial analysis policies, standards and processes."
215,51,Drives a culture of data-driven decision-making and continuous improvement in financial management.
216,51,"Provides strategic insights and recommendations based on comprehensive financial analysis, linking performance to business strategy."
217,52,Assists in gathering cost data and preparing basic cost reports under supervision.
218,52,Supports the cost management process by completing assigned tasks and seeking guidance when needed.
219,53,Applies standard cost management techniques and processes to monitor and report on costs within a specific area of responsibility.
220,53,Identifies and escalates cost variances and supports the implementation of cost-saving initiatives.
221,53,Collaborates with stakeholders to gather cost data and provide reports.
222,54,Develops and implements cost management processes and procedures for a department or function.
223,54,Monitors actual performance against budget and identifies variances.
224,54,"Analyses costs, identifies trends and recommends corrective actions."
225,54,Provides guidance and advice on cost management techniques and tools.
226,55,"Leads the development and implementation of cost management strategies, policies and procedures for a significant area of the organisation."
227,55,Provides authoritative advice and guidance on cost optimisation techniques and recognised good practices.
228,55,Oversees the development of complex cost models and reporting frameworks.
229,55,Presents cost management insights to senior stakeholders and facilitates data-driven decision-making.
230,55,Promotes a culture of cost consciousness and continuous improvement.
231,56,"Defines and leads the organisation's overall approach to cost management, aligning it with strategic objectives and financial goals."
232,56,"Develops and implements enterprise-wide cost management policies, standards and processes."
233,56,Collaborates with senior leaders to identify and drive cost optimisation initiatives.
234,56,Provides strategic insights and recommendations to optimise cost performance and drive long-term value creation.
235,56,Sets the vision and direction for cost management across the organisation.
236,57,Performs demand management analysis and planning activities within a specific business or operational area.
237,57,Monitors patterns of demand and identifies insights and proposals to improve business value.
238,57,Identifies and assesses opportunities to prioritise or improve alignment between business demand and capacity to deliver.
239,57,"Engages stakeholders to communicate insights, plans and decisions regarding business demand."
240,58,Implements demand management analysis and  planning activities.
241,58,Provides advice to help stakeholders adopt and adhere to the agreed demand management approach.
242,58,"Manages the process of integrating demand management  with complementary strategic, operational and change management processes."
243,58,Maintains a register of business requests and routes requests to the right place.
244,58,Reports on the status of each request.
245,58,Reviews new business proposals and provides advice on demand issues.
246,58,Works with business representatives to agree and implement short-term and medium-term modifications to demand.
247,59,"Defines the approach and sets policies for discovering, analysing, planning, controlling and documenting demand for services and products."
248,59,Organises scoping and business priority setting for strategic business changes involving business policymakers and direction setters.
249,59,Engages with and influences senior stakeholders to improve the business value delivered from new or existing services and products.
250,59,Leads the development of demand management capabilities.
251,59,"Leads the integration of demand management with complementary strategic, operational and change management processes."
252,60,Assists in the collection and maintenance of data for measurement purposes under routine supervision.
253,60,"Uses standard procedures for measuring attributes of processes, products and services."
254,60,Helps generate and distribute measurement reports.
255,61,Applies standard techniques to support the specification of measures and the collection and maintenance of data for measurement.
256,61,"Generates, produces and distributes reports."
257,61,Uses measurement tools for routine analysis of data.
258,61,Identifies and implements improvements to data collection methods.
259,62,"Identifies and prioritises appropriate measures, scales and targets."
260,62,"Supports projects, functions or teams in the development of measurement methods."
261,62,Specifies base and derived measures which support agreed information needs.
262,62,Specifies how to collect and store the data for each required measure.
263,62,Provides guidance on collection of data.
264,62,Designs reports and reporting formats.
265,63,"Establishes measurement objectives and the scope of measurement for functions, teams and projects."
266,63,Plans and implements improvements to measurement capability.
267,63,Provides advice and guidance for effective use of measures and measurement.
268,63,Selects measures appropriate to the context and organisational objectives.
269,63,Reviews data collection and storage mechanisms to support measurement.
270,63,"Contributes to organisational policies, standards and guidelines for measurement."
271,64,Leads the development of organisational capabilities for measurement (including automation).
272,64,Creates the measurement framework and aligns measurement objectives with business objectives.
273,64,"Develops organisational policies, standards and guidelines for measurement."
274,64,Provides resources to ensure adoption and adherence to policies and standards.
275,65,Assists with implementing and monitoring security policies and protocols across different systems.
276,65,Contributes to identifying and addressing potential risks in security governance and compliance.
277,65,"Supports the analysis of documented security incidents, escalating where appropriate."
278,65,"Assists in the review of access controls and permissions, ensuring adherence to security policies."
279,66,Applies and maintains specific security controls as required by organisational policy and local risk assessments.
280,66,Communicates security risks and issues to business managers and others.
281,66,Performs basic risk assessments for small information systems.
282,66,Contributes to the identification of risks that arise from potential technical solution architectures.
283,66,Suggests alternate solutions or countermeasures to mitigate risks.
284,66,Defines secure systems configurations in compliance with intended architectures.
285,66,Supports investigation of suspected attacks and security breaches.
286,67,"Provides guidance on the application and operation of elementary physical, procedural and technical security controls."
287,67,Explains the purpose of security controls and performs security risk and business impact analysis for medium complexity information systems.
288,67,Identifies risks that arise from potential technical solution architectures.
289,67,Designs alternate solutions or countermeasures and ensures they manage identified risks.
290,67,Investigates suspected attacks and supports security incident management.
291,68,Provides advice and guidance on security strategies to manage identified risks and ensure adoption and adherence to standards.
292,68,"Contributes to development of information security policy, standards and guidelines."
293,68,"Obtains and acts on vulnerability information and conducts security risk assessments, business impact analysis and accreditation on complex information systems."
294,68,Investigates major breaches of security and recommends appropriate control improvements.
295,68,Develops new architectures that manage the risks posed by new technologies and business practices.
296,69,"Develops and communicates corporate information security policy, standards and guidelines."
297,69,Ensures architectural principles are applied during design to reduce risk.
298,69,"Drives adoption and adherence to policy, standards and guidelines."
299,69,Contributes to the development of organisational strategies that address information control requirements.
300,69,"Identifies and monitors environmental and market trends and proactively assesses impact on business strategies, benefits and risks."
301,69,Leads the provision of authoritative advice and guidance on the requirements for security controls in collaboration with subject matter experts.
302,70,"Directs the development, implementation, delivery and support of an enterprise information security strategy aligned with the business strategy."
303,70,Ensures compliance between business strategies and information security.
304,70,"Leads the provision of information security expertise, guidance and systems needed to execute strategic and operational plans."
305,70,Secures organisational resources to execute the information security strategy.
306,71,Assists with information assurance activities under routine supervision.
307,71,Helps perform basic risk assessments and supports the implementation of information assurance measures.
308,71,Assists in maintaining records and documentation related to information assurance.
309,72,Follows standard approaches for the technical assessment of information systems against information assurance policies and business objectives.
310,72,Makes routine accreditation decisions.
311,72,Recognises decisions that are beyond their scope and responsibility level and escalates according.
312,72,Reviews and performs risk assessments and risk treatment plans.
313,72,Identifies typical risk indicators and explains prevention measures.
314,72,Maintains integrity of records to support and justify decisions.
315,73,Performs technical assessments and/or accreditation of complex or higher-risk information systems.
316,73,Identifies risk mitigation measures required in addition to the standard organisation or domain measures.
317,73,Establishes the requirement for accreditation evidence from delivery partners and communicates accreditation requirements to stakeholders.
318,73,Contributes to planning and organisation of information assurance and accreditation activities.
319,73,Contributes to development of and implementation of information assurance processes.
320,74,Interprets information assurance and security policies and applies these to manage risks.
321,74,"Provides advice and guidance to ensure adoption of and adherence to information assurance architectures, strategies, policies, standards and guidelines."
322,74,"Plans, organises and conducts information assurance and accreditation of complex domains areas, cross-functional areas and across the supply chain."
323,74,"Contributes to the development of policies, standards and guidelines."
324,75,"Develops information assurance policy, standards and guidelines."
325,75,Contributes to the development of organisational strategies that address the evolving business risk and information control requirements.
326,75,Drives adoption of and adherence to policies and standards.
327,75,"Ensures architectural principles are followed, requirements are defined and rigorous security testing is applied."
328,75,Ensures accreditation processes support and enable organisational objectives.
329,75,"Monitors environmental and market trends and assesses any impact on organisational strategies, benefits and risks."
330,76,Directs the creation and review of an enterprise information assurance strategy to support the strategic requirements of the business.
331,76,"Ensures compliance between business strategies and information assurance by setting strategies, policies, standards and practices."
332,76,"Leads the provision of information assurance expertise, advice and guidance across all of the organisation's information and information systems."
333,77,"Supports the implementation of policy, standards and guidelines related to information and data legislation and compliance requirements."
334,77,"Monitors the implementation of effective controls for internal delegation, audit and control relating to information management."
335,77,Reports on the consolidated status of information controls to inform effective decision-making.
336,77,Identifies risks around the use of information  and data that is subject to specific legislation.
337,77,Recommends remediation actions as required.
338,78,"Contributes to policies, standards and guidelines for information and data compliance."
339,78,"Provides authoritative advice on implementing compliance controls in products, services and systems."
340,78,Investigates breaches and recommends control improvements.
341,78,"Maintains an inventory of legislated data, conducts risk assessments and specifies necessary changes."
342,78,Ensures formal requests and complaints are handled following procedures.
343,78,"Prepares and submits reports to relevant authorities, ensuring all compliance requirements are met."
344,79,Develops strategies for compliance with information and data legislation.
345,79,"Ensures that the policy and standards for compliance with information and data legislation are fit for purpose, current and correctly implemented."
346,79,Acts as the organisation's contact for the regulatory authorities.
347,79,"Operates as a focus for information and data legislation for the organisation, working with specialists to provide authoritative advice and guidance."
348,80,Assists with vulnerability research tasks under routine supervision.
349,80,Helps document and report findings from vulnerability research activities.
350,81,Applies standard techniques and tools for vulnerability research.
351,81,Uses available resources to update knowledge of relevant specialism.
352,81,Participates in research communities.
353,81,Analyses and reports on activities and results.
354,82,Designs and executes complex vulnerability research activities.
355,82,"Specifies requirements for environment, data, resources and tools to perform assessments."
356,82,Reviews test results and modifies tests if necessary.
357,82,"Creates reports to communicate methodology, findings and conclusions."
358,82,Advises on deception methods by exploiting identified patterns.
359,82,Makes an active contribution to research communities.
360,83,Plans and manages vulnerability research activities.
361,83,Maintains a strong external network for vulnerability research.
362,83,Gathers information on new and emerging threats and vulnerabilities.
363,83,Assesses and documents the impacts and threats to the organisation.
364,83,Creates reports and shares knowledge and insights with stakeholders.
365,83,Provides expert advice and guidance to support the adoption of tools and techniques for vulnerability research.
366,83,"Contributes to the development of organisational policies, standards and guidelines for vulnerability research and assessment."
367,84,Plans and leads the organisation’s approach to vulnerability research.
368,84,Identifies new and emerging threats and vulnerabilities.
369,84,Maintains a strong external network.
370,84,Takes a leading part in external-facing professional activities to facilitate information gathering and set the scope of research work.
371,84,Engages with and influences relevant stakeholders to communicate results of research and the required response.
372,84,Develops organisational policies and guidelines for monitoring emerging threats and vulnerabilities.
373,85,Contributes to routine threat intelligence gathering tasks.
374,85,Monitors and detects potential security threats and escalates in accordance with relevant procedures and standards.
375,86,Performs routine threat intelligence gathering tasks.
376,86,Transforms collected information into a data format that can be used for operational security activities.
377,86,Cleans and converts quantitative information into consistent formats.
378,87,Collates and analyses information for threat intelligence requirements from a variety of sources.
379,87,"Contributes to reviewing, ranking and categorising qualitative threat intelligence information."
380,87,Creates threat intelligence reports.
381,87,"Evaluates the value, usefulness and impact of threat intelligence sources."
382,88,Plans and manages threat intelligence activities.
383,88,Identifies the most impactful threat categories and types of information that can help defend against them.
384,88,"Reviews, ranks and categorises qualitative threat intelligence information."
385,88,Provides expert advice on threat intelligence activities.
386,88,Leads the production and editing of threat intelligence reports that enhance the intelligence production workflow.
387,88,"Distributes information and obtains feedback about the value, usefulness and impact of the data."
388,89,"Sets direction, plans and leads the organisation’s approach to threat intelligence, including the use of suppliers."
389,89,Identifies requirements for threat intelligence based on the assets to be protected and the types of intelligence that can help protect those assets.
390,89,Engages with and influences relevant stakeholders to communicate results of research and the required response.
391,89,Ensures quality and accuracy of threat intelligence information.
392,89,Reviews threat intelligence capabilities.
393,90,Implements the governance framework to enable governance activity to be conducted.
394,90,"Within a defined area of accountability, determines the requirements for appropriate governance reflecting the organisation's values, ethics, risk appetite and wider governance frameworks."
395,90,"Communicates delegated authority, benefits, opportunities, costs and risks."
396,90,Leads reviews of governance practices with appropriate and sufficient independence from management activity.
397,90,Acts as the organisation's contact for relevant regulatory authorities and ensures proper relationships between the organisation and external stakeholders.
398,91,"Directs the definition, implementation and monitoring of the governance framework to meet organisational obligations under regulation, law, or contracts."
399,91,"Provides leadership, direction and oversight for governance activities."
400,91,"Integrates risk management into frameworks, aligning with strategic objectives and risk appetite."
401,91,Secures resources required to execute activities to achieve the organisation’s governance goals with effective transparency.
402,91,"Provides assurance to stakeholders that the organisation can deliver its obligations with an agreed balance of benefits, opportunities, costs and risks."
403,92,Assists in collecting and reporting data to support risk management activities under routine supervision.
404,92,Helps create and maintain documentation of risks and risk management activities.
405,92,Helps identify and report issues and discrepancies.
406,93,Undertakes basic risk management activities.
407,93,"Maintains documentation of risks, threats, vulnerabilities and mitigation actions."
408,94,"Carries out risk management activities within a specific function, technical area or project of medium complexity."
409,94,"Identifies risks and vulnerabilities, assesses their impact and probability, develops mitigation strategies and reports to the business."
410,94,Involves specialists and domain experts as necessary.
411,95,"Plans and implements complex and substantial risk management activities within a specific function, technical area, project or programme."
412,95,Establishes consistent risk management processes and reporting mechanisms aligned with governance frameworks.
413,95,Engages specialists and domain experts as necessary.
414,95,Advises on the organisation's approach to risk management.
415,96,"Plans and manages the implementation of organisation-wide risk management processes, integrating tools and techniques aligned with governance frameworks."
416,96,Considers organisation-wide risk and mitigation activities within the context of business risk as a whole and the organisation’s appetite for risk.
417,96,"Provides leadership on risk management, ensuring practices support strategic decision-making and compliance with organisational policies."
418,97,"Establishes the organisation's risk management strategy, defining and communicating the risk appetite in alignment with governance and strategic objectives."
419,97,Defines and communicates the organisation's appetite for risk.
420,97,Provides resources to implement the organisation's risk strategy.
421,97,Delegates authority for detailed planning and execution of risk management activities across the organisation.
422,98,Supports ethical reviews and conducts basic impact assessments under direction.
423,98,Gathers and analyses information for assessments.
424,98,Reports on ethical issues and compliance with guidance from others.
425,98,Documents findings from audits and reviews.
426,98,Assists with documentation and communication of ethical policies.
427,98,Supports others in responding to incidents.
428,99,Engages stakeholders to communicate ethical considerations and influence design decisions.
429,99,Conducts detailed impact assessments and makes recommendations.
430,99,Manages ethical reviews to ensure compliance with standards.
431,99,Evaluates risks and proposes measures to address ethical concerns.
432,99,Leads discussions with stakeholders on ethical issues.
433,99,Designs and executes ethical impact assessments.
434,99,Prepares reports based on audit findings.
435,100,Provides expert advice to integrate ethics into AI and data projects and programmes.
436,100,Oversees governance and assurance activities.
437,100,Reviews and approves impact assessments and audits.
438,100,Promotes awareness of ethical principles and their application across the organisation.
